<a>|The <a> SVG element defines a hyperlink.
<altGlyph>|The <altGlyph> SVG element allows sophisticated selection of the glyphs used to render its child character data.
<altGlyphDef>|The <altGlyphDef> SVG element defines a substitution representation for glyphs.
<altGlyphItem>|The <altGlyphItem> element provides a set of candidates for glyph substitution by the <altGlyph> element.
<animate>|The animate element is put inside a shape element and defines how an attribute of an element changes over the animation. The attribute will change from the initial value to the end value in the duration specified.
<animateColor>|The <animateColor> SVG element specifies a color transformation over time.
<animateMotion>|The <animateMotion> element causes a referenced element to move along a motion path.
<animateTransform>|The animateTransform element animates a transformation attribute on a target element, thereby allowing animations to control translation, scaling, rotation and/or skewing.
<audio>|The HTML <audio> element is used to embed sound content in documents. It may contain one or more audio sources, represented using the src attribute or the <source> element; the browser will choose the most suitable one.
<canvas>|Use the HTML <canvas> element with the canvas scripting API to draw graphics and animations.
<circle>|The <circle> SVG element is an SVG basic shape, used to create circles based on a center point and a radius.
<clipPath>|The <clipPath> SVG element defines a clipping path. A clipping path is used/referenced using the clip-path property.
<color-profile>|The <color-profile> element allows describing the color profile used for the image.
<cursor>|The <cursor> SVG element can be used to define a platform-independent custom cursor. A recommended approach for defining a platform-independent custom cursor is to create a PNG image and define a cursor element that references the PNG image and identifies the exact position within the image which is the pointer position (i.e., the hot spot).
<defs>|SVG allows graphical objects to be defined for later reuse. It is recommended that, wherever possible, referenced elements be defined inside of a <defs> element. Defining these elements inside of a <defs> element promotes understandability of the SVG content and thus promotes accessibility. Graphical elements defined in a <defs> element will not be directly rendered. You can use a <use> element to render those elements wherever you want on the viewport.
<desc>|Each container element or graphics element in an SVG drawing can supply a description string using the <desc> element where the description is text-only.
<discard>|The <discard> SVG element allows authors to specify the time at which particular elements are to be discarded, thereby reducing the resources required by an SVG user agent. This is particularly useful to help SVG viewers conserve memory while displaying long-running documents.
<ellipse>|The ellipse element is an SVG basic shape, used to create ellipses based on a center coordinate, and both their x and y radius.
<feBlend>|The <feBlend> SVG filter primitive composes two objects together ruled by a certain blending mode. This is similar to what is known from image editing software when blending two layers. The mode is defined by the mode attribute.
<feColorMatrix>|The <feColorMatrix> SVG filter element changes colors based on a transformation matrix. Every pixel's color value (represented by an [R,G,B,A] vector) is matrix multiplied to create a new color.
<feComponentTransfer>|Th <feComponentTransfer> SVG filter primitive performs color-component-wise remapping of data for each pixel. It allows operations like brightness adjustment, contrast adjustment, color balance or thresholding.
